变量名,类型/位号,读位置,写位置,用途推断,相关轴号,风险说明
SlaveChannel,local int,1st.prg:6796;1st.prg:6827;1st.prg:6829;1st.prg:6831;1st.prg:6837;1st.prg:6838;1st.prg:6868;1st.prg:6870,1st.prg:6803,通讯/Modbus,,中
SlaveId,local int,1st.prg:6796;1st.prg:6812;1st.prg:6818,1st.prg:6805,通讯/Modbus,,中
SlaveIp,local int,1st.prg:6796;1st.prg:6829,1st.prg:6804,通讯/Modbus,,中
SomethingChanged,local int,1st.prg:6637;1st.prg:6721,1st.prg:6679;1st.prg:6684;1st.prg:6690;1st.prg:6695;1st.prg:6701;1st.prg:6706;1st.prg:6712;1st.prg:6717;1st.prg:6723,局部计算/临时变量,,低
Sp0,global real tag 1067,1st.prg:6727;1st.prg:6729;1st.prg:6731;1st.prg:6733;1st.prg:6778;1st.prg:8317;1st.prg:8319;1st.prg:8325;1st.prg:8431;1st.prg:8432;1st.prg:8628;1st.prg:8644;1st.prg:9255;1st.prg:10031;1st.prg:10032;1st.prg:10033;1st.prg:10034;1st.prg:10059;1st.prg:10060;1st.prg:10188;1st.prg:10189;1st.prg:10239;1st.prg:10240;1st.prg:10923;1st.prg:11123;1st.prg:11124;1st.prg:11512,1st.prg:259;1st.prg:342;1st.prg:438;1st.prg:479;1st.prg:560;1st.prg:679;1st.prg:866;1st.prg:949;1st.prg:1045;1st.prg:1086;1st.prg:1167;1st.prg:1286;1st.prg:1364;1st.prg:2176;1st.prg:2259;1st.prg:2355;1st.prg:2396;1st.prg:2477;1st.prg:2596;1st.prg:2869;1st.prg:2952;1st.prg:3048;1st.prg:3089;1st.prg:3170;1st.prg:3289;1st.prg:3562;1st.prg:3645;1st.prg:3741;1st.prg:3782;1st.prg:3863;1st.prg:3982;1st.prg:4255;1st.prg:4338;1st.prg:4434;1st.prg:4475;1st.prg:4556;1st.prg:4675;1st.prg:4948;1st.prg:5031;1st.prg:5127;1st.prg:5168;1st.prg:5249;1st.prg:5368;1st.prg:5641;1st.prg:5724;1st.prg:5820;1st.prg:5861;1st.prg:5942;1st.prg:6061;1st.prg:7108;1st.prg:7671;1st.prg:7900;1st.prg:8265;1st.prg:8318;1st.prg:8320;1st.prg:8328;1st.prg:8430;1st.prg:9246;1st.prg:10030;1st.prg:10058;1st.prg:10187;1st.prg:10238;1st.prg:10294;1st.prg:10335;1st.prg:10543;1st.prg:10807;1st.prg:10958;1st.prg:11009;1st.prg:11122;1st.prg:11175;1st.prg:11217,设定值/目标位置,0,高
Sp1,global real tag 1267,1st.prg:8334;1st.prg:8538;1st.prg:8539;1st.prg:8730;1st.prg:8733;1st.prg:9256;1st.prg:10037;1st.prg:10038;1st.prg:10039;1st.prg:10040;1st.prg:10063;1st.prg:10064;1st.prg:10192;1st.prg:10193;1st.prg:10243;1st.prg:10244;1st.prg:10926;1st.prg:10928;1st.prg:11128;1st.prg:11129;1st.prg:11594,1st.prg:261;1st.prg:344;1st.prg:440;1st.prg:481;1st.prg:562;1st.prg:681;1st.prg:868;1st.prg:951;1st.prg:1047;1st.prg:1088;1st.prg:1169;1st.prg:1288;1st.prg:1366;1st.prg:2178;1st.prg:2261;1st.prg:2357;1st.prg:2398;1st.prg:2479;1st.prg:2598;1st.prg:2871;1st.prg:2954;1st.prg:3050;1st.prg:3091;1st.prg:3172;1st.prg:3291;1st.prg:3564;1st.prg:3647;1st.prg:3743;1st.prg:3784;1st.prg:3865;1st.prg:3984;1st.prg:4257;1st.prg:4340;1st.prg:4436;1st.prg:4477;1st.prg:4558;1st.prg:4677;1st.prg:4950;1st.prg:5033;1st.prg:5129;1st.prg:5170;1st.prg:5251;1st.prg:5370;1st.prg:5643;1st.prg:5726;1st.prg:5822;1st.prg:5863;1st.prg:5944;1st.prg:6063;1st.prg:7110;1st.prg:7673;1st.prg:7915;1st.prg:8267;1st.prg:8340;1st.prg:8537;1st.prg:9247;1st.prg:10036;1st.prg:10062;1st.prg:10191;1st.prg:10242;1st.prg:10296;1st.prg:10337;1st.prg:10545;1st.prg:10810;1st.prg:10963;1st.prg:10965;1st.prg:10968;1st.prg:11011;1st.prg:11127;1st.prg:11177;1st.prg:11219,设定值/目标位置,1,高
Sp2,global real tag 1167,1st.prg:8336;1st.prg:8542;1st.prg:8543;1st.prg:8754;1st.prg:8757;1st.prg:9257;1st.prg:10043;1st.prg:10044;1st.prg:10045;1st.prg:10046;1st.prg:10067;1st.prg:10068;1st.prg:10196;1st.prg:10197;1st.prg:10247;1st.prg:10248;1st.prg:10930;1st.prg:11133;1st.prg:11134;1st.prg:11553,1st.prg:263;1st.prg:346;1st.prg:442;1st.prg:483;1st.prg:564;1st.prg:683;1st.prg:870;1st.prg:953;1st.prg:1049;1st.prg:1090;1st.prg:1171;1st.prg:1290;1st.prg:1368;1st.prg:2180;1st.prg:2263;1st.prg:2359;1st.prg:2400;1st.prg:2481;1st.prg:2600;1st.prg:2873;1st.prg:2956;1st.prg:3052;1st.prg:3093;1st.prg:3174;1st.prg:3293;1st.prg:3566;1st.prg:3649;1st.prg:3745;1st.prg:3786;1st.prg:3867;1st.prg:3986;1st.prg:4259;1st.prg:4342;1st.prg:4438;1st.prg:4479;1st.prg:4560;1st.prg:4679;1st.prg:4952;1st.prg:5035;1st.prg:5131;1st.prg:5172;1st.prg:5253;1st.prg:5372;1st.prg:5645;1st.prg:5728;1st.prg:5824;1st.prg:5865;1st.prg:5946;1st.prg:6065;1st.prg:7675;1st.prg:7932;1st.prg:8269;1st.prg:8342;1st.prg:8541;1st.prg:9248;1st.prg:10042;1st.prg:10066;1st.prg:10195;1st.prg:10246;1st.prg:10298;1st.prg:10339;1st.prg:10547;1st.prg:10812;1st.prg:10972;1st.prg:11013;1st.prg:11132;1st.prg:11179;1st.prg:11221,设定值/目标位置,2,高
Sp3,global real tag 1367,1st.prg:9258;1st.prg:10071;1st.prg:10072;1st.prg:10200;1st.prg:10201;1st.prg:10251;1st.prg:10252;1st.prg:10931;1st.prg:11138;1st.prg:11139;1st.prg:11634,1st.prg:265;1st.prg:348;1st.prg:444;1st.prg:485;1st.prg:566;1st.prg:685;1st.prg:872;1st.prg:955;1st.prg:1051;1st.prg:1092;1st.prg:1173;1st.prg:1292;1st.prg:1370;1st.prg:2182;1st.prg:2265;1st.prg:2361;1st.prg:2402;1st.prg:2483;1st.prg:2602;1st.prg:2875;1st.prg:2958;1st.prg:3054;1st.prg:3095;1st.prg:3176;1st.prg:3295;1st.prg:3568;1st.prg:3651;1st.prg:3747;1st.prg:3788;1st.prg:3869;1st.prg:3988;1st.prg:4261;1st.prg:4344;1st.prg:4440;1st.prg:4481;1st.prg:4562;1st.prg:4681;1st.prg:4954;1st.prg:5037;1st.prg:5133;1st.prg:5174;1st.prg:5255;1st.prg:5374;1st.prg:5647;1st.prg:5730;1st.prg:5826;1st.prg:5867;1st.prg:5948;1st.prg:6067;1st.prg:7112;1st.prg:7114;1st.prg:7677;1st.prg:7946;1st.prg:9249;1st.prg:10070;1st.prg:10199;1st.prg:10250;1st.prg:10300;1st.prg:10341;1st.prg:10975;1st.prg:11015;1st.prg:11137;1st.prg:11181;1st.prg:11223,设定值/目标位置,3,高
Sp4,global real tag 1467,1st.prg:9259;1st.prg:10075;1st.prg:10076;1st.prg:10204;1st.prg:10205;1st.prg:10255;1st.prg:10256;1st.prg:10932;1st.prg:11143;1st.prg:11144;1st.prg:11674,1st.prg:267;1st.prg:350;1st.prg:446;1st.prg:487;1st.prg:568;1st.prg:687;1st.prg:874;1st.prg:957;1st.prg:1053;1st.prg:1094;1st.prg:1175;1st.prg:1294;1st.prg:1372;1st.prg:2184;1st.prg:2267;1st.prg:2363;1st.prg:2404;1st.prg:2485;1st.prg:2604;1st.prg:2877;1st.prg:2960;1st.prg:3056;1st.prg:3097;1st.prg:3178;1st.prg:3297;1st.prg:3570;1st.prg:3653;1st.prg:3749;1st.prg:3790;1st.prg:3871;1st.prg:3990;1st.prg:4263;1st.prg:4346;1st.prg:4442;1st.prg:4483;1st.prg:4564;1st.prg:4683;1st.prg:4956;1st.prg:5039;1st.prg:5135;1st.prg:5176;1st.prg:5257;1st.prg:5376;1st.prg:5649;1st.prg:5732;1st.prg:5828;1st.prg:5869;1st.prg:5950;1st.prg:6069;1st.prg:7116;1st.prg:7679;1st.prg:9250;1st.prg:10074;1st.prg:10203;1st.prg:10254;1st.prg:10302;1st.prg:10343;1st.prg:10978;1st.prg:11017;1st.prg:11142;1st.prg:11183;1st.prg:11225,设定值/目标位置,4,高
Sp5,global real tag 1667,1st.prg:9260;1st.prg:10079;1st.prg:10080;1st.prg:10208;1st.prg:10209;1st.prg:10259;1st.prg:10260;1st.prg:10933;1st.prg:11148;1st.prg:11149;1st.prg:11752,1st.prg:269;1st.prg:352;1st.prg:448;1st.prg:489;1st.prg:570;1st.prg:689;1st.prg:876;1st.prg:959;1st.prg:1055;1st.prg:1096;1st.prg:1177;1st.prg:1296;1st.prg:1374;1st.prg:2186;1st.prg:2269;1st.prg:2365;1st.prg:2406;1st.prg:2487;1st.prg:2606;1st.prg:2879;1st.prg:2962;1st.prg:3058;1st.prg:3099;1st.prg:3180;1st.prg:3299;1st.prg:3572;1st.prg:3655;1st.prg:3751;1st.prg:3792;1st.prg:3873;1st.prg:3992;1st.prg:4265;1st.prg:4348;1st.prg:4444;1st.prg:4485;1st.prg:4566;1st.prg:4685;1st.prg:4958;1st.prg:5041;1st.prg:5137;1st.prg:5178;1st.prg:5259;1st.prg:5378;1st.prg:5651;1st.prg:5734;1st.prg:5830;1st.prg:5871;1st.prg:5952;1st.prg:6071;1st.prg:7118;1st.prg:7681;1st.prg:9251;1st.prg:10078;1st.prg:10207;1st.prg:10258;1st.prg:10304;1st.prg:10345;1st.prg:10981;1st.prg:11019;1st.prg:11147;1st.prg:11185;1st.prg:11227,设定值/目标位置,5,高
Sp6,global real tag 1567,1st.prg:9261;1st.prg:10083;1st.prg:10084;1st.prg:10212;1st.prg:10213;1st.prg:10263;1st.prg:10264;1st.prg:10934;1st.prg:11153;1st.prg:11154;1st.prg:11713,1st.prg:271;1st.prg:354;1st.prg:450;1st.prg:491;1st.prg:572;1st.prg:691;1st.prg:878;1st.prg:961;1st.prg:1057;1st.prg:1098;1st.prg:1179;1st.prg:1298;1st.prg:1376;1st.prg:2188;1st.prg:2271;1st.prg:2367;1st.prg:2408;1st.prg:2489;1st.prg:2608;1st.prg:2881;1st.prg:2964;1st.prg:3060;1st.prg:3101;1st.prg:3182;1st.prg:3301;1st.prg:3574;1st.prg:3657;1st.prg:3753;1st.prg:3794;1st.prg:3875;1st.prg:3994;1st.prg:4267;1st.prg:4350;1st.prg:4446;1st.prg:4487;1st.prg:4568;1st.prg:4687;1st.prg:4960;1st.prg:5043;1st.prg:5139;1st.prg:5180;1st.prg:5261;1st.prg:5380;1st.prg:5653;1st.prg:5736;1st.prg:5832;1st.prg:5873;1st.prg:5954;1st.prg:6073;1st.prg:7120;1st.prg:7683;1st.prg:9252;1st.prg:10082;1st.prg:10211;1st.prg:10262;1st.prg:10306;1st.prg:10347;1st.prg:10984;1st.prg:11021;1st.prg:11152;1st.prg:11187;1st.prg:11229,设定值/目标位置,6,高
Sp7,global real tag 1767,1st.prg:9262;1st.prg:10087;1st.prg:10088;1st.prg:10216;1st.prg:10217;1st.prg:10267;1st.prg:10268;1st.prg:10935;1st.prg:11158;1st.prg:11159;1st.prg:11791,1st.prg:273;1st.prg:356;1st.prg:452;1st.prg:493;1st.prg:574;1st.prg:693;1st.prg:880;1st.prg:963;1st.prg:1059;1st.prg:1100;1st.prg:1181;1st.prg:1300;1st.prg:1378;1st.prg:2190;1st.prg:2273;1st.prg:2369;1st.prg:2410;1st.prg:2491;1st.prg:2610;1st.prg:2883;1st.prg:2966;1st.prg:3062;1st.prg:3103;1st.prg:3184;1st.prg:3303;1st.prg:3576;1st.prg:3659;1st.prg:3755;1st.prg:3796;1st.prg:3877;1st.prg:3996;1st.prg:4269;1st.prg:4352;1st.prg:4448;1st.prg:4489;1st.prg:4570;1st.prg:4689;1st.prg:4962;1st.prg:5045;1st.prg:5141;1st.prg:5182;1st.prg:5263;1st.prg:5382;1st.prg:5655;1st.prg:5738;1st.prg:5834;1st.prg:5875;1st.prg:5956;1st.prg:6075;1st.prg:7122;1st.prg:7685;1st.prg:9253;1st.prg:10086;1st.prg:10215;1st.prg:10266;1st.prg:10308;1st.prg:10349;1st.prg:10987;1st.prg:11023;1st.prg:11157;1st.prg:11189;1st.prg:11231,设定值/目标位置,7,高
StartTime,local real,1st.prg:8836;1st.prg:9948,1st.prg:9944,局部计算/临时变量,,低
StartingReadRegister,local int,1st.prg:6800;1st.prg:6814,1st.prg:6807,局部计算/临时变量,,低
StartingWriteRegister,local int,1st.prg:6800;1st.prg:6820,1st.prg:6809,局部计算/临时变量,,低
StatusCaptureFEED_ON,local int,1st.prg:6116,,局部计算/临时变量,,中
StatusCapturePOGON,local int,1st.prg:6115,,局部计算/临时变量,,中
StatusWord,global int tag 1836,1st.prg:11824,1st.prg:6669;1st.prg:6670,通用控制变量,,中
StatusWord0,global int tag 1017,1st.prg:8299;1st.prg:11202;1st.prg:11298;1st.prg:11505,,通用控制变量,0,中
StatusWord0.5,special bit,1st.prg:10863;1st.prg:11202;1st.prg:11242,1st.prg:10863;1st.prg:11242,通用控制变量,5,中
StatusWord0.6,special bit,1st.prg:8297;1st.prg:8299;1st.prg:8308;1st.prg:10872,1st.prg:8297;1st.prg:8308;1st.prg:10872,通用控制变量,6,中
StatusWord0.7,special bit,1st.prg:10874;1st.prg:10882;1st.prg:11298;1st.prg:11306,1st.prg:10874;1st.prg:10882;1st.prg:11306,通用控制变量,7,中
StatusWord1,global int tag 1217,1st.prg:1681;1st.prg:11203;1st.prg:11310;1st.prg:11587,,通用控制变量,1,中
StatusWord1.10,special bit,1st.prg:1681,,通用控制变量,0,中
StatusWord1.5,special bit,1st.prg:10864;1st.prg:11203;1st.prg:11243,1st.prg:10864;1st.prg:11243,通用控制变量,5,中
StatusWord1.7,special bit,1st.prg:10875;1st.prg:11310;1st.prg:11318,1st.prg:10875;1st.prg:11318,通用控制变量,7,中
StatusWord2,global int tag 1117,1st.prg:11204;1st.prg:11323;1st.prg:11546,,通用控制变量,2,中
StatusWord2.5,special bit,1st.prg:10865;1st.prg:11204;1st.prg:11244,1st.prg:10865;1st.prg:11244,通用控制变量,5,中
StatusWord2.7,special bit,1st.prg:10876;1st.prg:11323;1st.prg:11331,1st.prg:10876;1st.prg:11331,通用控制变量,7,中
StatusWord3,global int tag 1317,1st.prg:11205;1st.prg:11335;1st.prg:11627,,通用控制变量,3,中
StatusWord3.5,special bit,1st.prg:10866;1st.prg:11205;1st.prg:11245,1st.prg:10866;1st.prg:11245,通用控制变量,5,中
StatusWord3.7,special bit,1st.prg:10877;1st.prg:11335;1st.prg:11343,1st.prg:10877;1st.prg:11343,通用控制变量,7,中
StatusWord4,global int tag 1417,1st.prg:11206;1st.prg:11348;1st.prg:11667,,通用控制变量,4,中
StatusWord4.5,special bit,1st.prg:10867;1st.prg:11206;1st.prg:11246,1st.prg:10867;1st.prg:11246,通用控制变量,5,中
StatusWord4.7,special bit,1st.prg:10878;1st.prg:11348;1st.prg:11356,1st.prg:10878;1st.prg:11356,通用控制变量,7,中
StatusWord5,global int tag 1617,1st.prg:11207;1st.prg:11361;1st.prg:11745,,通用控制变量,5,中
StatusWord5.5,special bit,1st.prg:10868;1st.prg:11207;1st.prg:11247,1st.prg:10868;1st.prg:11247,通用控制变量,5,中
StatusWord5.7,special bit,1st.prg:10879;1st.prg:11361;1st.prg:11369,1st.prg:10879;1st.prg:11369,通用控制变量,7,中
StatusWord6,global int tag 1517,1st.prg:11208;1st.prg:11374;1st.prg:11706,,通用控制变量,6,中
StatusWord6.5,special bit,1st.prg:10869;1st.prg:11208;1st.prg:11248,1st.prg:10869;1st.prg:11248,通用控制变量,5,中
StatusWord6.7,special bit,1st.prg:10880;1st.prg:11374;1st.prg:11382,1st.prg:10880;1st.prg:11382,通用控制变量,7,中
StatusWord7,global int tag 1717,1st.prg:11209;1st.prg:11387;1st.prg:11784,,通用控制变量,7,中
StatusWord7.5,special bit,1st.prg:10870;1st.prg:11209;1st.prg:11249,1st.prg:10870;1st.prg:11249,通用控制变量,5,中
StatusWord7.7,special bit,1st.prg:10881;1st.prg:11387;1st.prg:11395,1st.prg:10881;1st.prg:11395,通用控制变量,7,中
Sub_part_number,global int,1st.prg:8827,1st.prg:8921,通用控制变量,,中
T,global axisdef,1st.prg:11409,,通用控制变量,,中
TPOS,unknown unknown,,1st.prg:311;1st.prg:334;1st.prg:407;1st.prg:430;1st.prg:469;1st.prg:664;1st.prg:667;1st.prg:918;1st.prg:941;1st.prg:1014;1st.prg:1037;1st.prg:1076;1st.prg:1271;1st.prg:1274;1st.prg:2228;1st.prg:2251;1st.prg:2324;1st.prg:2347;1st.prg:2386;1st.prg:2581;1st.prg:2584;1st.prg:2921;1st.prg:2944;1st.prg:3017;1st.prg:3040;1st.prg:3079;1st.prg:3274;1st.prg:3277;1st.prg:3614;1st.prg:3637;1st.prg:3710;1st.prg:3733;1st.prg:3772;1st.prg:3967;1st.prg:3970;1st.prg:4307;1st.prg:4330;1st.prg:4403;1st.prg:4426;1st.prg:4465;1st.prg:4660;1st.prg:4663;1st.prg:5000;1st.prg:5023;1st.prg:5096;1st.prg:5119;1st.prg:5158;1st.prg:5353;1st.prg:5356;1st.prg:5693;1st.prg:5716;1st.prg:5789;1st.prg:5812;1st.prg:5851;1st.prg:6046;1st.prg:6049;1st.prg:10525;1st.prg:10526;1st.prg:10763;1st.prg:10764;1st.prg:10802;1st.prg:10803,通用控制变量,,中
Timeout,local int,1st.prg:6179;1st.prg:6260;1st.prg:6281;1st.prg:6288;1st.prg:6295;1st.prg:6302;1st.prg:6309;1st.prg:6326;1st.prg:6379;1st.prg:6386;1st.prg:6401;1st.prg:6408;1st.prg:6416;1st.prg:6423;1st.prg:6431;1st.prg:6437;1st.prg:6445;1st.prg:6451;1st.prg:6459;1st.prg:6465;1st.prg:6473;1st.prg:6479;1st.prg:6487;1st.prg:6493;1st.prg:6524;1st.prg:6532;1st.prg:6539;1st.prg:6546;1st.prg:6554;1st.prg:6561;1st.prg:6568;1st.prg:6575;1st.prg:6912;1st.prg:7161;1st.prg:7269;1st.prg:7378,1st.prg:6211;1st.prg:6922;1st.prg:7165;1st.prg:7273;1st.prg:7382,局部计算/临时变量,,低
TimerON,local int,1st.prg:8837;1st.prg:9940,1st.prg:9945;1st.prg:9963,局部计算/临时变量,,低
UseAnalogCmd,global real,1st.prg:7828;1st.prg:7837;1st.prg:7840;1st.prg:8975;1st.prg:9691;1st.prg:11454,,通用控制变量,,中
V,global real,1st.prg:11413,,通用控制变量,,中
V0,global real,1st.prg:11413,,通用控制变量,0,中
V1,global real,1st.prg:11413,,通用控制变量,1,中
V2,global real,1st.prg:11413,,通用控制变量,2,中
V3,global real,1st.prg:11413,,通用控制变量,3,中
V4,global real,1st.prg:11413,,通用控制变量,4,中
V5,global real,1st.prg:11413,,通用控制变量,5,中
V6,global real,1st.prg:11413,,通用控制变量,6,中
V7,global real,1st.prg:11413,,通用控制变量,7,中
V8,global real,1st.prg:11413,,通用控制变量,,中
V9,global real,1st.prg:11413,,通用控制变量,,中
V90,global real,1st.prg:11413,,通用控制变量,0,中
V91,global real,1st.prg:11413,,通用控制变量,1,中
V92,global real,1st.prg:11413,,通用控制变量,2,中
V93,global real,1st.prg:11413,,通用控制变量,3,中
V94,global real,1st.prg:11413,,通用控制变量,4,中
V95,global real,1st.prg:11413,,通用控制变量,5,中
V96,global real,1st.prg:11413,,通用控制变量,6,中
V97,global real,1st.prg:11413,,通用控制变量,7,中
V98,global real,1st.prg:11413,,通用控制变量,,中
V99,global real,1st.prg:11413,,通用控制变量,,中
VEL,unknown unknown,1st.prg:9469;1st.prg:9470,1st.prg:1425;1st.prg:8379;1st.prg:8380;1st.prg:8390;1st.prg:8391;1st.prg:8500;1st.prg:8501;1st.prg:9156;1st.prg:9166;1st.prg:9176;1st.prg:9185;1st.prg:9196;1st.prg:9204,运动参数/速度曲线,,高
VELDIR1,global int tag 1289,1st.prg:8479;1st.prg:8484;1st.prg:11608,1st.prg:8483;1st.prg:8488,运动参数/速度曲线,1,高
VELDIR2,global int tag 1189,1st.prg:11567,,运动参数/速度曲线,2,高
VKI0,global real tag 1071,1st.prg:11515,1st.prg:9036,通用控制变量,0,中
VKI1,global real tag 1271,1st.prg:11597,1st.prg:9040,通用控制变量,1,中
VKI2,global real tag 1171,1st.prg:11556,1st.prg:9044,通用控制变量,2,中
VKI3,global real tag 1371,1st.prg:11637,1st.prg:9048,通用控制变量,3,中
VKI4,global real tag 1471,1st.prg:11677,1st.prg:9052,通用控制变量,4,中
VKI5,global real tag 1671,1st.prg:11755,1st.prg:9056,通用控制变量,5,中
VKI6,global real tag 1571,1st.prg:11716,1st.prg:9060,通用控制变量,6,中
VKI7,global real tag 1771,1st.prg:11794,1st.prg:9064,通用控制变量,7,中
VKP0,global real tag 1070,1st.prg:11514,1st.prg:9035,通用控制变量,0,中
VKP1,global real tag 1270,1st.prg:11596,1st.prg:9039,通用控制变量,1,中
VKP2,global real tag 1170,1st.prg:11555,1st.prg:9043,通用控制变量,2,中
VKP3,global real tag 1370,1st.prg:11636,1st.prg:9047,通用控制变量,3,中
VKP4,global real tag 1470,1st.prg:11676,1st.prg:9051,通用控制变量,4,中
VKP5,global real tag 1670,1st.prg:11754,1st.prg:9055,通用控制变量,5,中
VKP6,global real tag 1570,1st.prg:11715,1st.prg:9059,通用控制变量,6,中
VKP7,global real tag 1770,1st.prg:11793,1st.prg:9063,通用控制变量,7,中
Valve_Scaling_Factor0,global real tag 1011,1st.prg:11499,,通用控制变量,0,中
Valve_Scaling_Factor1,global real tag 1211,1st.prg:1471;1st.prg:1582;1st.prg:1618;1st.prg:1712;1st.prg:1852;1st.prg:1853;1st.prg:1857;1st.prg:1858;1st.prg:11581,1st.prg:1470;1st.prg:1854,通用控制变量,1,中
Valve_Scaling_Factor2,global real tag 1111,1st.prg:11540,,通用控制变量,2,中
Valve_Scaling_Factor3,global real tag 1311,1st.prg:11621,,通用控制变量,3,中
Valve_Scaling_Factor4,global real tag 1411,1st.prg:11661,,通用控制变量,4,中
Valve_Scaling_Factor5,global real tag 1611,1st.prg:11739,,通用控制变量,5,中
Valve_Scaling_Factor6,global real tag 1511,1st.prg:11700,,通用控制变量,6,中
Valve_Scaling_Factor7,global real tag 1711,1st.prg:11778,,通用控制变量,7,中
Valve_Scaling_Factor_Prev,local real,1st.prg:1391;1st.prg:1852;1st.prg:1854,1st.prg:1471;1st.prg:1857,局部计算/临时变量,,低
WkSp0,global real tag 1051,1st.prg:8254;1st.prg:8430;1st.prg:8646;1st.prg:9246;1st.prg:10030;1st.prg:10058;1st.prg:10187;1st.prg:10238;1st.prg:11122;1st.prg:11511,1st.prg:8613;1st.prg:9542,设定值/目标位置,0,高
WkSp1,global real tag 1251,1st.prg:8256;1st.prg:8537;1st.prg:8735;1st.prg:9247;1st.prg:10036;1st.prg:10062;1st.prg:10191;1st.prg:10242;1st.prg:11127;1st.prg:11593,1st.prg:8722;1st.prg:9562;1st.prg:9565;1st.prg:9570,设定值/目标位置,1,高
WkSp2,global real tag 1151,1st.prg:8258;1st.prg:8541;1st.prg:8759;1st.prg:9248;1st.prg:10042;1st.prg:10066;1st.prg:10195;1st.prg:10246;1st.prg:11132;1st.prg:11552,1st.prg:8746;1st.prg:9590,设定值/目标位置,2,高
WkSp3,global real tag 1351,1st.prg:9249;1st.prg:10070;1st.prg:10199;1st.prg:10250;1st.prg:11137;1st.prg:11633,1st.prg:9605,设定值/目标位置,3,高
WkSp4,global real tag 1451,1st.prg:9250;1st.prg:10074;1st.prg:10203;1st.prg:10254;1st.prg:11142;1st.prg:11673,1st.prg:9620,设定值/目标位置,4,高
WkSp5,global real tag 1651,1st.prg:9251;1st.prg:10078;1st.prg:10207;1st.prg:10258;1st.prg:11147;1st.prg:11751,1st.prg:9636,设定值/目标位置,5,高
WkSp6,global real tag 1551,1st.prg:9252;1st.prg:10082;1st.prg:10211;1st.prg:10262;1st.prg:11152;1st.prg:11712,1st.prg:9653,设定值/目标位置,6,高
WkSp7,global real tag 1751,1st.prg:9253;1st.prg:10086;1st.prg:10215;1st.prg:10266;1st.prg:11157;1st.prg:11790,1st.prg:9670,设定值/目标位置,7,高
WriteFunctionCode,local int,1st.prg:6799;1st.prg:6819,1st.prg:6808,局部计算/临时变量,,低
WriteIsAllowed,local int,1st.prg:6248;1st.prg:6381;1st.prg:6403;1st.prg:6418;1st.prg:6433;1st.prg:6447;1st.prg:6461;1st.prg:6475;1st.prg:6489,1st.prg:6249,局部计算/临时变量,,低
WriteRequest,local int,1st.prg:6798;1st.prg:6868,1st.prg:6818;1st.prg:6819;1st.prg:6820;1st.prg:6821;1st.prg:6822;1st.prg:6823;1st.prg:6824;1st.prg:6854;1st.prg:6859;1st.prg:6861;1st.prg:6866,局部计算/临时变量,,低
WriteResponse,local int,1st.prg:6798;1st.prg:6870,,设定值/目标位置,,高
X,global axisdef,1st.prg:11409,,通用控制变量,,中
XCURI,unknown unknown,1st.prg:297;1st.prg:386;1st.prg:510;1st.prg:825;1st.prg:904;1st.prg:993;1st.prg:1117;1st.prg:1317;1st.prg:2135;1st.prg:2214;1st.prg:2303;1st.prg:2427;1st.prg:2828;1st.prg:2907;1st.prg:2996;1st.prg:3120;1st.prg:3521;1st.prg:3600;1st.prg:3689;1st.prg:3813;1st.prg:4214;1st.prg:4293;1st.prg:4382;1st.prg:4506;1st.prg:4907;1st.prg:4986;1st.prg:5075;1st.prg:5199;1st.prg:5600;1st.prg:5679;1st.prg:5768;1st.prg:5892;1st.prg:10401;1st.prg:10403;1st.prg:10698;1st.prg:10700,1st.prg:220;1st.prg:239;1st.prg:245;1st.prg:299;1st.prg:316;1st.prg:322;1st.prg:388;1st.prg:418;1st.prg:517;1st.prg:541;1st.prg:546;1st.prg:827;1st.prg:846;1st.prg:852;1st.prg:906;1st.prg:923;1st.prg:929;1st.prg:995;1st.prg:1025;1st.prg:1124;1st.prg:1148;1st.prg:1153;1st.prg:1319;1st.prg:1342;1st.prg:1347;1st.prg:1419;1st.prg:2137;1st.prg:2156;1st.prg:2162;1st.prg:2216;1st.prg:2233;1st.prg:2239;1st.prg:2305;1st.prg:2335;1st.prg:2434;1st.prg:2458;1st.prg:2463;1st.prg:2830;1st.prg:2849;1st.prg:2855;1st.prg:2909;1st.prg:2926;1st.prg:2932;1st.prg:2998;1st.prg:3028;1st.prg:3127;1st.prg:3151;1st.prg:3156;1st.prg:3523;1st.prg:3542;1st.prg:3548;1st.prg:3602;1st.prg:3619;1st.prg:3625;1st.prg:3691;1st.prg:3721;1st.prg:3820;1st.prg:3844;1st.prg:3849;1st.prg:4216;1st.prg:4235;1st.prg:4241;1st.prg:4295;1st.prg:4312;1st.prg:4318;1st.prg:4384;1st.prg:4414;1st.prg:4513;1st.prg:4537;1st.prg:4542;1st.prg:4909;1st.prg:4928;1st.prg:4934;1st.prg:4988;1st.prg:5005;1st.prg:5011;1st.prg:5077;1st.prg:5107;1st.prg:5206;1st.prg:5230;1st.prg:5235;1st.prg:5602;1st.prg:5621;1st.prg:5627;1st.prg:5681;1st.prg:5698;1st.prg:5704;1st.prg:5770;1st.prg:5800;1st.prg:5899;1st.prg:5923;1st.prg:5928;1st.prg:8309;1st.prg:9215;1st.prg:10405;1st.prg:10407;1st.prg:10529;1st.prg:10531;1st.prg:10708;1st.prg:10711;1st.prg:10822;1st.prg:10824,通用控制变量,,高
